date,p2tr_output_count,total_output_count,p2tr_output_share_pct,tx_spending_taproot_count,total_tx_count,p2tr_tx_share_pct,source_url
2021-11-14,208,729633,0.0285,75,224016,0.0335,https://mainnet.observer/csv/
2021-11-15,75,888893,0.0084,40,288435,0.0139,https://mainnet.observer/csv/
2021-11-16,95,938092,0.0101,30,301103,0.01,https://mainnet.observer/csv/
2021-11-17,52,897695,0.0058,27,290390,0.0093,https://mainnet.observer/csv/
2021-11-18,36,922161,0.0039,13,293867,0.0044,https://mainnet.observer/csv/
2021-11-19,35,909061,0.0039,18,284719,0.0063,https://mainnet.observer/csv/
2021-11-20,32,813652,0.0039,12,249652,0.0048,https://mainnet.observer/csv/
2021-11-21,31,740703,0.0042,15,222949,0.0067,https://mainnet.observer/csv/
2021-11-22,29,859981,0.0034,11,279165,0.0039,https://mainnet.observer/csv/
2021-11-23,16,887782,0.0018,6,283401,0.0021,https://mainnet.observer/csv/
2021-11-24,19,930783,0.002,7,298909,0.0023,https://mainnet.observer/csv/
2021-11-25,29,931303,0.0031,14,287496,0.0049,https://mainnet.observer/csv/
2021-11-26,38,940264,0.004,27,292645,0.0092,https://mainnet.observer/csv/
2021-11-27,19,788749,0.0024,8,240759,0.0033,https://mainnet.observer/csv/
2021-11-28,18,705319,0.0026,4,213768,0.0019,https://mainnet.observer/csv/
2021-11-29,29,919209,0.0032,15,301297,0.005,https://mainnet.observer/csv/
2021-11-30,25,932965,0.0027,9,293876,0.0031,https://mainnet.observer/csv/
2021-12-01,17,918380,0.0019,8,288422,0.0028,https://mainnet.observer/csv/
2021-12-02,423,988616,0.0428,59,313261,0.0188,https://mainnet.observer/csv/
2021-12-03,1223,944247,0.1295,308,290139,0.1062,https://mainnet.observer/csv/
2021-12-04,1253,882292,0.142,348,253674,0.1372,https://mainnet.observer/csv/
2021-12-05,1037,739270,0.1403,336,215213,0.1561,https://mainnet.observer/csv/
2021-12-06,1071,892401,0.12,404,284467,0.142,https://mainnet.observer/csv/
2021-12-07,1117,926521,0.1206,489,288343,0.1696,https://mainnet.observer/csv/
2021-12-08,1125,841196,0.1337,421,266110,0.1582,https://mainnet.observer/csv/
2021-12-09,1553,904064,0.1718,552,282775,0.1952,https://mainnet.observer/csv/
2021-12-10,1224,924444,0.1324,496,271375,0.1828,https://mainnet.observer/csv/
2021-12-11,1388,763887,0.1817,572,225733,0.2534,https://mainnet.observer/csv/
2021-12-12,1093,717375,0.1524,484,214808,0.2253,https://mainnet.observer/csv/
