address,script_type,current_balance_btc,total_received_btc,n_unspent_utxos,n_received_outputs,oldest_unspent_height,last_seen_height
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,p2sh,248597.58474105,30000.38867979,5074,4941,665989,950592
3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,p2sh,153082.42115168,1058009.35102578,205,340,839089,950592
bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2,p2wpkh,140062.98531919,343378.24480852,45,645,791225,950032
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,p2wsh,130010.07900252,2310131.84545161,45,276,899592,949548
bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc27a4,p2wsh,97140.70687949,1266141.90983989,13,188,946442,950592
bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt,p2wpkh,94643.48823473,94643.48823473,181,181,721283,950033
bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr,p2wsh,91850.11550812,1121451.20612917,26,224,946451,950643
1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,p2pkh,79957.26859373,0.06203404,684,304,111194,950446
bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4g,p2wpkh,78317.03645555,78317.03645555,92,92,835855,950592
1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP,p2pkh,73988.02015402,241695.93176617,1840,2663,761392,950667
bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6,p2wpkh,69370.18446399,0.01068098,177,148,655282,950592
3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,p2sh,68200.00688378,121950.01218761,113,133,763661,950592
bc1q0ymzksy046tv4z88ts5nmu7s574umnwmdev3rt,p2wpkh,62657.50674197,62657.50764197,49,50,911024,950049
3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgd,p2sh,55904.67064215,171796.97332829,294,736,783192,950050
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,p2pkh,53880.06662342,0.00627399,260,137,302920,950592
1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA,p2pkh,51830.40190576,0.04285725,163,66,503030,950446
1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os,p2pkh,44000.08808626,0.00192594,118,84,605230,950592
bc1q0j55cut9nd2c88tnnsfultdx696c8lt6n4n0su,p2wpkh,42636.60008483,42636.60028994,71,73,939430,950061
bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3qfgpr,p2wsh,42462.79342075,4933625.04330830,113,3175,829317,950610
bc1qws342rlkhszh58rtn35zrw7w076puz83gkcufy,p2wpkh,41110.00015621,962697.00752157,1,107,950548,950548
bc1qa2eu6p5rl9255e3xz7fcgm6snn4wl5kdfh7zpt05qp5fad9dmsys0qjg0e,p2wsh,38194.36828149,70471.14411819,49,76,856748,947230
3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6a,p2sh,37927.07833223,37927.07833223,91,91,706472,950592
bc1qy3uw2kk45uj9vsy52rjfhydm2tnd6hreu8vha3,p2wpkh,37484.18212745,78468.36432588,30,38,914716,950068
bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkug,p2wpkh,36000.42395723,36000.42395723,96,96,692911,950592
3FuhQLprN9s9MR3bZzR5da7mw75fuahsaU,p2sh,32920.52158718,56534.20038254,2755,3180,871865,950649
bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4,p2wpkh,31643.40207618,0.02622094,4817,112,630088,950592
3FHNBLobJnbCTFTVakh5TXmEneyf5PT61B,p2sh,31275.35265261,31275.35265261,88,88,692761,950593
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,p2pkh,31000.07642162,0.00646421,259,138,60147,950446
bc1q8taf2eca7pn9wu4czt8fgftqm288xtfxdyt33syzxuexxty733xsszghzk,p2wsh,30800.00010098,96800.00020811,17,32,908911,950544
bc1q6h2v33qt0jjvpr2hxxtwhtvdvtn086g0n2qu06,p2wpkh,30573.92236802,189454.58418433,11,24,922666,942026
bc1qukw69mjxwp30adfqddv6gcyva26laxz562rhlk,p2wpkh,30466.60299896,61027.14049544,24,31,928742,950075
12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,p2pkh,28151.06010594,0.00224603,223,92,49099,950593
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,p2sh,26983.53635978,14326.84742204,45,85,644004,950595
3FsDiWdG76meMpdCLbVV4dUXhrFyaLrtxL,p2sh,26916.22496497,26916.22496497,3,3,931716,935752
39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYw,p2sh,26062.38476691,104480.52446200,48,51,820136,950594
bc1qysj2w7xsw09datsy9mt9x50jn7qjd6qde6d66qm3ce0a4y9uzdpqcavdr0,p2wsh,25354.69341669,32756.94654050,55,103,890623,948084
1N7jWmv63mkMdsYzbNUVHbEYDQfcq1u8Yp,p2pkh,24051.75833549,24051.75833549,8,8,873301,935752
15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxv,p2pkh,23599.50832823,32599.51302440,91,95,743736,950595
bc1qs4z2d3h5je080f74tax92dwg08sf3hylj9vfg3,p2wpkh,20755.01097254,38629.05036444,6,18,936399,945206
