address,script_type,current_balance_btc,total_received_btc,n_unspent_utxos,n_received_outputs,oldest_unspent_height,last_seen_height
19iqYbeATe4RxghQZJnYVFU4mjUUu76EA6,p2pkh,0.00314188,967181116.04074335,45,63500,642195,887121
1KNm4K8GUK8sMoxc2Z3zU8Uv5FDVjrA72p,p2pkh,3492.36026276,97679753.47160213,33,87122,942344,950687
1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,pubkeyhash,0.00000000,89609605.35350008,0,182187,,950695
bc1qx2x5cqhymfcnjtg902ky6u5t5htmt7fvqztdsm028hkrvxcl4t2sjtpd9l,p2wsh,0.00032104,67315238.12797508,62,8401,825485,950688
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,p2wpkh,2215.68150678,58593527.44527140,142,2439516,950840,950696
bc1qmgj3w0aw5455y9s4zfhts2kxm4qstwyjx5f907,p2wpkh,0.11796161,30003451.30806444,7,132921,820891,934440
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf,p2wpkh,107.96993557,25972150.74603442,40,2734598,950424,950696
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,p2sh,0.00096638,24557914.22964733,141,109939,722266,950673
bc1qrnn4wfhgz2e0etek66sh3n9l6k99alxk044mhr,witness_v0_keyhash,0.00000000,23951553.83496566,0,88238,,787525
bc1qns9f7yfx3ry9lj6yz7c9er0vwa0ye2eklpzqfw,witness_v0_keyhash,0.00000000,14922893.52321216,0,1151377,,950695
bc1qprdf80adfz7aekh5nejjfrp3jksc8r929svpxk,p2wpkh,2.23660900,14036540.70731265,140,183590,758499,923099
1GrwDkr33gT6LuumniYjKEGjTLhsL5kmqC,p2pkh,317.57315646,11965850.41661731,25434,429953,702148,950695
bc1prcs82tvrz70jk8u79uekwdfjhd0qhs2mva6e526arycu7fu25zsqhyztuy,p2tr,0.00022963,11926263.34938309,10,2666,903298,936059
bc1qmhq4sgtchfgh6ul75x3rsuegt55mef0zx3ehm2,witness_v0_keyhash,0.00000000,9504956.00241313,0,287549,,915300
1GQdrgqAbkeEPUef1UpiTc4X1mUHMcyuGW,pubkeyhash,0.00000000,8539053.40731218,0,616963,,950497
bc1qfpeps3wcmzk422hvm5jeq5lelnqlzznjwyfy69,p2wpkh,106.86050641,8043941.74628541,2,327052,950664,950696
bc1qamgjuxaywqls56h7rg7afga3m6rgqwfkew688k,p2wpkh,46.81224301,7142976.19945270,271,254949,883760,950696
