address,script_type,current_balance_btc,total_received_btc,n_unspent_utxos,n_received_outputs,oldest_unspent_height,last_seen_height
1HckjUpRGcrrRAtFaaCAUaGjsPx9oYmLaZ,p2pkh,8.38426820,2112194.12505646,1533181,67391,502326,919447
1111111111111111111114oLvT2,p2pkh,700.10870208,509.21297113,385806,257120,73327,950449
168o1kqNquEJeR9vosUB5fw4eAwcVAgh8P,p2pkh,2.04219431,38975.34910291,372143,134,510359,873194
bc1qp8j9sx6609h7llqufurxjgrwsqwt020tqzn0gs,p2wpkh,32.80168144,115.76340539,339652,1030315,860064,947466
1Po1oWkD2LmodfkBYiAktwh76vkF93LKnh,p2pkh,4.32613904,1.62883798,236018,2127,452049,871622
bc1plqmeezk43un4xr4w9jll5lnhzwf6du3cwjfzkp6relpa64kxnkxqyst25h,p2tr,0.77970842,0.83883740,233609,233617,801293,847143
3P4WqXDbSLRhzo2H6MT6YFbvBKBDPLbVtQ,p2sh,1.28229174,780.50197542,215460,1089352,820193,946626
bc1q4gfsheqz7ll2wdgfwjh2l5hhr45ytc4ekgxaex,p2wpkh,1.02664124,1.09210136,188267,199166,829400,919291
bc1qptgujmlkez7e6744yctzjgztu0st372mxs6702,p2wpkh,1.66337440,2.58028240,181005,268186,829400,871951
bc1qn39tzr8e5sppx3n33wte7ku4h2yv6y8n6egf9f,p2wpkh,0.53465292,205.51684398,180817,183956,817462,946194
bc1qatps0tj6hfytve855qhyudlqt8kly68lp2clrl9v9ccanp753kwsk3u4dy,p2wsh,1.75020887,1.74957242,175572,175554,941410,950683
bc1qrrzg5488afxzkqjhv3ues2az06vgdmgxkgftlt,p2wpkh,0.52730423,32.63568727,154689,158520,840018,946306
bc1qp6yxc4v2ydlltrz39smervlfhv4jjfqwgwkydz,p2wpkh,2.63705227,48.31910923,146779,148086,816264,932832
bc1qmjwy795fmsyhqlal4lh25xtqdw085ucjhgxrqp,p2wpkh,0.43031020,3.82247581,130141,130522,796071,901065
bc1qcq2uv5nk6hec6kvag3wyevp6574qmsm9scjxc2,p2wpkh,14.36055413,292.50831834,129206,1516813,782553,949986
bc1pk83599ekxnv59fv8km3w0ykvm3qsc3hs6zsgtxu5elwa2y0gaahqzzmcn3,p2tr,0.59012177,10.55618730,123831,123979,799065,836601
bc1pndths0lnsvem2a0n2c6t49u462xam0n4krjl6kpfwn0nknc0cd7qmnxhf8,p2tr,3.79451306,27.17038013,119722,153132,807351,949320
bc1pt5zrlm55lmfwq7sjsuzgpgkmm7fymkna375l8kyuu5p6cq77545q554mgr,p2tr,4.75174328,4.72337508,111346,110802,919224,950695
