period_type,period,n_blocks,n_tx,n_outputs,total_output_btc,mean_btc,median_btc_approx,mode_btc_approx,p90_btc_approx,p99_btc_approx
all,all,55891,176982574,457189591,277166946.47437489,1.56606913444,0.00105925372518,0.000944060876286,0.149623565609,18.8364908949
month,2025-05,4491,11807562,31774819,19472260.92495442,1.64913475999,0.00188364908949,3.34965439158e-06,0.26607250598,18.8364908949
month,2025-06,4158,10281825,28463494,16987661.16116038,1.65220290767,0.00211348903984,3.34965439158e-06,0.334965439158,18.8364908949
month,2025-07,4574,12980471,35678820,20048526.76677399,1.54451458401,0.00149623565609,3.34965439158e-06,0.188364908949,14.9623565609
month,2025-08,4588,14098420,37773290,18786525.97115069,1.33252704708,0.00118850222744,0.000841395141645,0.133352143216,14.9623565609
month,2025-09,4532,15191371,37232284,19306659.22335129,1.27089643347,0.000668343917569,3.34965439158e-06,0.0944060876286,11.8850222744
month,2025-10,4534,14492395,37523436,23881739.72274720,1.64788081768,0.00105925372518,0.000944060876286,0.149623565609,21.1348903984
month,2025-11,4257,12863817,34222748,26909378.83092928,2.09186579931,0.00149623565609,0.000944060876286,0.298538261892,33.4965439158
month,2025-12,4401,14237124,37436376,22720226.81798390,1.59584385287,0.000944060876286,0.000298538261892,0.167880401812,23.7137370566
month,2026-01,4201,12112978,32308024,22790301.46754970,1.88147798729,0.00118850222744,0.00105925372518,0.237137370566,29.8538261892
month,2026-02,4239,13116622,34775005,25801677.56779345,1.96709774573,0.00105925372518,0.000749894209332,0.188364908949,29.8538261892
month,2026-03,4349,14722963,37747400,21521595.18108667,1.46177064909,0.000944060876286,0.00149623565609,0.105925372518,16.7880401812
month,2026-04,4219,16802126,39570852,22843659.70517567,1.35956959882,0.000595662143529,0.00149623565609,0.0595662143529,11.8850222744
month,2026-05,3348,14274900,32683043,16096733.13371764,1.12762493143,0.000421696503429,5.30884444231e-06,0.0421696503429,9.44060876286
year,2025,35535,105952985,280105267,168112979.41904950,1.5866752543,0.00133352143216,0.000944060876286,0.188364908949,18.8364908949
year,2026,20356,71029589,177084324,109053967.05532281,1.53533152297,0.000749894209332,0.000944060876286,0.0944060876286,16.7880401812
