bucket,min_age_blocks,max_age_blocks_exclusive,min_age_days,max_age_days_exclusive,utxo_count,total_btc,share_of_total_btc
<1 day,0,144,0.000000,1.000000,298844,102362.55222887,0.0051096461
1-7 days,144,1008,1.000000,7.000000,987855,325230.86671847,0.0162345955
7-30 days,1008,4320,7.000000,30.000000,2659657,847509.31563148,0.0423052432
30-90 days,4320,12960,30.000000,90.000000,4785515,1112739.03185640,0.0555447528
90-180 days,12960,25920,90.000000,180.000000,6236018,2093411.67098321,0.1044971286
180 days-1 year,25920,52560,180.000000,365.000000,13264328,3425872.59662926,0.1710097705
1-2 years,52560,105120,365.000000,730.000000,30093499,2406262.18417271,0.1201137323
2-3 years,105120,157680,730.000000,1095.000000,42735125,1105396.63958527,0.0551782415
3-5 years,157680,262800,1095.000000,1825.000000,20087789,1938657.27382672,0.0967722313
>5 years,262800,,1825.000000,,44202254,6675755.89598053,0.3332346581
